Filename,,Group,Person,Inherits,Status,Age,CPP Lines,HPP Lines,Total Lines,libCbc,cbcSolve,cbcGeneric,Other Projects,First Object,Other Objects,Comment
CbcBranchActual.cpp,,Branch,Edwin,,,8,5340,1823,7163,x,,,,Multiple,"CbcClique, CbcSos, CbcSimpleInteger, CbcIntegerBranchingObject, CbcSimpleIntegerPseudoCost, CbcIntegerPseudoCostBranchingObject, CbcCliqueBranchingObject, CbcLongCliqueBranchingObject, CbcSosBranchingObject, CbcBranchDefaultDecision, CbcFollowOn, CbcFixingBranchingObject, CbcNWay, CbcNWayBranchingObject, CbcFixVariable, CbcDummyBranchingObject, CbcGeneral, CbcGeneralDepth, CbcGeneralBranchingObject, CbcOneGeneralBranchingObject, CbcSubProblem",
,CbcClique.cpp,Branch,Edwin,,,,,,,,,,,,,
,CbcSos.cpp,Branch,Edwin,,,,,,,,,,,,,
,CbcSimpleInteger,Branch,Edwin,,,,,,,,,,,,,
,CbcIntegerBranchingObject,Branch,Edwin,,,,,,,,,,,,,
,CbcSimpleIntegerPseudoCost,Branch,Edwin,,,,,,,,,,,,,
,CbcIntegerPseudoCostBranchingObject,Branch,Edwin,,,,,,,,,,,,,
,CbcCliqueBranchingObject,Branch,Edwin,,,,,,,,,,,,,
,CbcLongCliqueBranchingObject,Branch,Edwin,,,,,,,,,,,,,
,CbcSosBranchingObject,Branch,Edwin,,,,,,,,,,,,,
,CbcBranchDefaultDecision,Branch,Edwin,,,,,,,,,,,,,
,CbcFollowOn,Branch,Edwin,,,,,,,,,,,,,
,CbcFixingBranchingObject,Branch,Edwin,,,,,,,,,,,,,
,CbcNWay,Branch,Edwin,,,,,,,,,,,,,
,CbcNWayBranchingObject,Branch,Edwin,,,,,,,,,,,,,
,CbcFixVariable,Branch,Edwin,,,,,,,,,,,,
,CbcDummyBranchingObject,Branch,Edwin,,,,,,,,,,,,
,CbcGeneral,Branch,Edwin,,,,,,,,,,,,
,CbcGeneralDepth,Branch,Edwin,,,,,,,,,,,,
,CbcGeneralBranchingObject,Branch,Edwin,,,,,,,,,,,,
,CbcOneGeneralBranchingObject,Branch,Edwin,,,,,,,,,,,,
,CbcSubProblem,Branch,Edwin,,,,,,,,,,,,
CbcBranchBase.cpp,,Branch,Edwin,,,10,352,707,1059,x,,,,CbcObject,"CbcBranchingObject, CbcBranchDecision, CbcConsequence, CbcObjectUpdateData"
,CbcBranchDecision,Branch,Edwin,,,,,,,,,,,,
,CbcBranchObject,Branch,Edwin,,,,,,,,,,,,
,CbcConsequence,Branch,Edwin,,,,,,,,,,,,
,CbcObject,Branch,Edwin,,,,,,,,,,,,
,CbcObjectUpdateData,Branch,Edwin,,,,,,,,,,,,
CbcBranchCut.cpp,,Branch,Edwin,,,10,1023,315,1338,x,,,,CbcBranchCut,"CbcCutBranchingObject, CbcBranchToFixLots, CbcBranchAllDifferent"
,CbcBranchAllDifferent,Branch,Edwin,,,,,,,,,,,,
,CbcBranchToFixLots,Branch,Edwin,,,,,,,,,,,,
,CbcCutBranchingObject,Branch,Edwin,,,,,,,,,,,,
CbcBranchDynamic.cpp,,Branch,Edwin,,,8,1911,557,2468,x,,,,CbcSimpleIntegerDynamicPseudoCost,"CbcDynamicPseudoCostBranchingObject, CbcBranchDynamicDecision"
,CbcDynamicPseudoCostBranching,Branch,Edwin,,,,,,,,,,,,
,CbcSimpleIntegerDynamicPseudoCost,Branch,Edwin,,,,,,,,,,,,
